"спец тег","тип клетки","группа"
Прямоугольнй,Аквариум,Форма
Круглый,Аквариум,Форма
Угловой,Аквариум,Форма
Панорамный,Аквариум,Форма
Горизонтальный,Террариум,Форма
Вертикальный,Террариум,Форма
Кубический,Террариум,Форма
Палюдариум,Акватеррариум,Особенности
Рипариум,Акватеррариум,Особенности
Пресноводный,Аквариум,Особенности
Солёный,Аквариум,Особенности
Сухой,Террариум,Особенности
Пресноводный акватеррариум,Акватеррариум,Особенности
Солёный акватеррариум,Акватеррариум,Особенности
Двухэтажная,Для птиц,Форма
Прямоугольная для птиц,Для птиц,Форма
Квадратная для птиц,Для птиц,Форма
Для размножения,Для птиц,Особенности
Есть зеркало,Для птиц,Особенности
Есть ванночка,Для птиц,Особенности
Есть мел,Для птиц,Особенности
Есть колокольчики,Для птиц,Игрушки
Мячики,Для птиц,Игрушки
Качели,Для птиц,Игрушки
Есть улитки,Аквариум,Живность
Кораллы,Аквариум,Живность
Актинии,Аквариум,Живность
Есть креветки,Аквариум,Живность
