"название","необычный","группа"
Собака,false,Собаки и кошки
Кошка,false,Собаки и кошки
Ара,true,Птицы
Жако,true,Птицы
Шпорцевая аквариумная лягушка,true,Амфибии
Карликовая лягушка гименохирус,true,Амфибии
Рогатки Кранвелла,true,Амфибии
Лягушки водоносы,true,Амфибии
Гребенчатый тритон,true,Амфибии
Пятнистый эублефар,true,Рептилии
Бородатая агама,true,Рептилии
Синеязыкий сцинк,true,Рептилии
Маисовый полоз,true,Рептилии
Королевский питон,true,Рептилии
Радужный удав,true,Рептилии
Волнистый попугай,false,Птицы
Попугай неразлучник,false,Птицы
Корелла,false,Птицы
Петушок,false,Рыбки
Скалярия,false,Рыбки
Данио,false,Рыбки
Анциструс,false,Рыбки
Барбус,false,Рыбки
Обыкновенный тритон,true,Амфибии
Хомяки обыкновенные,false,Грызуны
Джунгарские хомяки,false,Грызуны
Китайские хомяки,false,Грызуны
Сирийские (золотые) хомяки,false,Грызуны
Морская свинка,false,Грызуны
Домашний кролик,false,Грызуны
Ахатины,true,Прочее
Виноградные улитки,true,Прочее
